,Unnamed: 0,text,screen_name,len,retweet,russia,SeanHannity,Mueller,clinton,sentiment,sentiment_mixed,sentiment_negative,sentiment_neutral,sentiment_positive
0,0,@AlamoOnTheRise https://t.co/ukp07vXGqf,ne1for23,39,0,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
1,1,So true https://t.co/Vq9ayIAcAn,jend0315,31,0,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
2,2,@sumariumcom: Cabello sobre ausencia de Trump en Lima: “Que tristeza para los perritos que esperaban pasarle la lengua por los zapatos”…,REACCI0NARIAA,139,1,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
3,3,"@TrumpTrainMRA4: @facebook 
@DiamondandSilk 
Mark Zuckerberg Declares Two Black Trump Chicks 
“ UnSafe for His Community “
🤪Liberalism i…",Crowntiptoe,140,1,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
4,4,@page88: Thread. Don’t think this overstates matters. https://t.co/EpKFaUBi62,JadeJensen29,80,1,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
5,5,@SpeakerRyan @SenateMajLdr #ProtectMueller #ProtectRosenstein https://t.co/z9ihMbnVAM,Terryg1979,85,0,0,0,1,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
6,6,"@funder: Trump sending troops to the border, is literally his way of making the military pay for the wall. Because the military themselv…",IamBrooklyn31,140,1,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
7,7,"@AnnCoulter: Mueller is DYING to get fired.  Then he'll be a martyr! A hero!  Otherwise, he's just a loser who couldn't find any crimes…",SPeek1,139,1,0,0,1,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
8,8,"Yup.
Train wreck coming.
#Resist
#Resign
#Impeach https://t.co/SGQMXZKaKR",titeman50,73,0,0,0,0,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
9,9,"@drscott_atlanta: #FBI raids @realDonaldTrump’s Personal attorney office

I DO NOT ACCEPT the findings of the #MuellerWitchHunt☠️‼️

The…",Jdflygirl,140,1,0,0,1,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
10,10,"@MSNBC: The New York Times reports special counsel Robert Mueller is investigating a $150,000 payment from a Ukrainian billionaire for a…",hani_azer11,140,1,0,0,1,0,NEUTRAL,0.0029816434253007174,0.009638397954404354,0.9677344560623169,0.019645456224679947
