,Unnamed: 0,text,screen_name,len,retweet,russia,SeanHannity,Mueller,clinton,sentiment,sentiment_mixed,sentiment_negative,sentiment_neutral,sentiment_positive
0,0,@AlamoOnTheRise https://t.co/ukp07vXGqf,ne1for23,39,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
1,1,So true https://t.co/Vq9ayIAcAn,jend0315,31,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
2,2,@sumariumcom: Cabello sobre ausencia de Trump en Lima: “Que tristeza para los perritos que esperaban pasarle la lengua por los zapatos”…,REACCI0NARIAA,139,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
3,3,"@TrumpTrainMRA4: @facebook 
@DiamondandSilk 
Mark Zuckerberg Declares Two Black Trump Chicks 
“ UnSafe for His Community “
🤪Liberalism i…",Crowntiptoe,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
4,4,@page88: Thread. Don’t think this overstates matters. https://t.co/EpKFaUBi62,JadeJensen29,80,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
5,5,@SpeakerRyan @SenateMajLdr #ProtectMueller #ProtectRosenstein https://t.co/z9ihMbnVAM,Terryg1979,85,0,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
6,6,"@funder: Trump sending troops to the border, is literally his way of making the military pay for the wall. Because the military themselv…",IamBrooklyn31,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
7,7,"@AnnCoulter: Mueller is DYING to get fired.  Then he'll be a martyr! A hero!  Otherwise, he's just a loser who couldn't find any crimes…",SPeek1,139,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
8,8,"Yup.
Train wreck coming.
#Resist
#Resign
#Impeach https://t.co/SGQMXZKaKR",titeman50,73,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
9,9,"@drscott_atlanta: #FBI raids @realDonaldTrump’s Personal attorney office

I DO NOT ACCEPT the findings of the #MuellerWitchHunt☠️‼️

The…",Jdflygirl,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
10,10,"@MSNBC: The New York Times reports special counsel Robert Mueller is investigating a $150,000 payment from a Ukrainian billionaire for a…",hani_azer11,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
11,11,"@CoreyLMJones: Mark Zuckerberg said that Facebook censors “hate speech.”

Liberals define “hate speech” as:
-Supporting Trump
-Being Pro…",MikeypoosFilms,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
12,12,"@ABC: Sen. Chuck Schumer: ""President Trump, America has been around for over two-and-a-half centuries. An investigation of your personal…",LookItUpJones,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
13,13,@ryan_trollip: Of course he will https://t.co/aCgEuLY8rN,Wellness4You13,59,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
14,14,@JoyAnnReid: The “if Trump fired Mueller Republicans would abandon him” crowd are dreaming. https://t.co/cQtKmyiFCC,iamfoffey,118,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
15,15,@BillKristol: I'm honored to be a founding director of Republicans for the Rule of Law. You (and President Trump) can see our first TV a…,Carla__Wright,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
16,16,@DennisDMZ Pretty sure Trump is about to take some of his frustration out on Syria. Where's the rest of the world B… https://t.co/oQjwyvn9gr,EmojiVader,140,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
17,17,"Two ironies from the last election cycle stand out for me - the incessant attacks on the Koch Brothers by Reid, et… https://t.co/ng2i91vU6P",LoufromCT,139,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
18,18,"White House says it's ""been advised"" that tRump has the power to fire special counsel Mueller via @bpolitics",atmorehead,108,0,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
19,19,"@RWPUSA: The House and Senate should be considering firing Trump. It’s time.

Trump considering firing Rosenstein to check Mueller @CNNP…",appreciate1954,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
20,20,@goodoldcatchy: The 30 years from 1987 (the vote to abolish the Fairness Doctrine) to 2017 will be seen by historians as the pre-Trump e…,jljac1313,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
21,21,@goodoldcatchy: The 30 years from 1987 (the vote to abolish the Fairness Doctrine) to 2017 will be seen by historians as the pre-Trump e…,ToesMc,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
22,22,"@HarleyRouda: @RepAdamSchiff Trump sued a group of lenders led by Deutsche Bank for $3 billion. 

Trump: The financial crisis was the eq…",caraleeacs,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
23,23,@ktumulty: “I almost never meet a Trump supporter who has become disillusioned. I often meet Republicans who were once ambivalent but wh…,feder400,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
24,24,@AnneRiceAuthor: No wonder I can't sleep. https://t.co/ZW8391piFZ,gabymart98,68,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
25,25,@RealSaavedra: Members of the Alabama Crimson Tide football team prayed for President Donald Trump today when the team visited the White…,lauralvpb,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
26,26,War is Terrorism  | must find a different game | #blockchainrevolution #BDS | https://t.co/Wl8enbRa9e https://t.co/ay8rYumUYn,norwind,125,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
27,27,@SethAbramson: PLEASE RT If you strenuously and unambiguously object to Trump firing Deputy Attorney General Rosenstein or Special Couns…,Liz_Rawson,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
28,28,@chrislhayes: THE WARRANT WAS OBTAINED BY THE US ATTORNEY FOR THE SOUTHERN DISTRICT OF NEW YORK WHO IS A TRUMP APPOINTEE (not shouting a…,kanakuna,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
29,29,@ElderLansing: POTUS Trump I urge you to go for broke and fire Mueller. No matter what the Dumbocrats will seek impeachment. And for God…,1_WILD_WOMAN,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
30,30,"@mckaycoppins: Tonight's #frontlinePBS doc on Trump &amp; the GOP ends with @SykesCharlie: ""In a Faustian bargain, remember, you often get w…",Watchingtheflow,144,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
31,31,Step up @SpeakerRyan https://t.co/qLpW0Kwayl,AngelaBN86,44,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
32,32,"Raid on Michael Cohen's home likely executed after significant evidence was found in Mueller probe, analyst says -T… https://t.co/clWd0afVft",LarryMcelhiney,140,0,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
33,33,"@Stonekettle: Ultimately, what Republicans fear most is that Trump will be taken down due to his various sexual shenanigans...

...and c…",deborah_combs,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
34,34,"@funder: We wouldn’t have to worry about Trump firing Mueller if Republicans in Congress passed a bill to protect him.

Please call @Sen…",ptrevino1194,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
35,35,@maggieNYT: Good piece&gt;&gt; https://t.co/RW5ROWExtn,michaelsen_erik,57,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
36,36,@matthewamiller: Does anyone still think he's not trying to cover up serious wrongdoing? There is really no other explanation left for h…,mjvitous,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
37,37,"@frontlinepbs: ""[Paul Ryan] thought that it would be easy to work with Trump, that the president just wanted wins... and that he wouldn’…",reader102002,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
38,38,"@frontlinepbs: “What the Republican establishment now know is Donald Trump is unequivocally the leader of the Republican Party,” former…",sumthing_witty,139,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
39,39,"@oddpatriot: #MAKEITRAIN 
@POTUS 
#Patriots
#Trump 
#TrumpTrain 
#MAGA 
#KAG 
#KAG2020 
#2A 
#2ADefender
#NRA
#Constitution 
#VETERANS
#…",jc2uok,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
40,40,DYENFIVMF https://t.co/TKH6TLvyTP,marvelexo,33,0,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
41,41,@MSNBC: Exclusive: @Maddow reports on what are believed to be Fmr. Acting Assistant AG Dana Boente's handwritten notes taken during talk…,jcb3791,140,1,0,0,0,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
42,42,"@RWPUSA: The House and Senate should be considering firing Trump. It’s time.

Trump considering firing Rosenstein to check Mueller @CNNP…",ednamaemae,140,1,0,0,1,0,NEUTRAL,0.005330588202923536,0.15102127194404602,0.8416213989257812,0.0020267644431442022
